car_id,brand,model,year,mileage,fuel_type,transmission,sale_month,zip_prefix,price,age,area_type,miles_per_year,suspicious_mileage,area
4,VW,Model B,2023,10661.0,Petrol,Automatic,10,20,18132,2,Rural,5076.666666666666,False,Rural
8,Ford,Model B,2025,3210.0,Hybrid,Automatic,11,1,21820,0,Rural,32100.0,False,Rural
9,Mercedes,Model A,2023,34565.0,Diesel,Automatic,11,1,21380,2,Rural,16459.52380952381,False,Rural
10,BMW,Model A,2025,13173.0,Petrol,Automatic,8,30,33616,0,Rural,131730.0,False,Rural
12,Audi,Model C,2025,0.0,Petrol,Automatic,7,20,33231,0,Rural,0.0,False,Rural
13,Hyundai,Model B,2025,0.0,Petrol,Manual,12,10,20673,0,Rural,0.0,False,Rural
14,Toyota,Model A,2017,95659.0,Diesel,Manual,2,1,6814,8,Rural,11809.753086419754,False,Rural
15,VW,Model A,2016,97948.0,Petrol,Manual,3,1,9107,9,Rural,10763.516483516483,False,Rural
16,BMW,Model C,2016,121680.0,Petrol,Manual,9,1,4388,9,Rural,13371.428571428572,False,Rural
17,BMW,Model A,2020,26909.0,Petrol,Manual,9,20,11325,5,Rural,5276.274509803922,False,Rural
18,BMW,Model B,2022,38792.0,Petrol,Manual,3,10,13796,3,Rural,12513.548387096775,False,Rural
19,Audi,Model C,2021,49265.0,Petrol,Manual,11,30,9813,4,Rural,12015.853658536585,False,Rural
20,Toyota,Model B,2019,84741.0,Petrol,Automatic,12,20,10088,6,Rural,13891.967213114754,False,Rural
21,Ford,Model C,2023,0.0,Diesel,Automatic,1,10,24607,2,Rural,0.0,False,Rural
23,Toyota,Model B,2019,86685.0,Petrol,Manual,4,30,6039,6,Rural,14210.65573770492,False,Rural
24,BMW,Model A,2020,50352.0,Diesel,Automatic,4,1,13444,5,Rural,9872.94117647059,False,Rural
25,Mercedes,Model A,2021,29601.0,Diesel,Automatic,1,1,18136,4,Rural,7219.756097560976,False,Rural
26,Fiat,Model C,2025,0.0,Diesel,Manual,7,1,21949,0,Rural,0.0,False,Rural
28,Hyundai,Model A,2022,22370.0,Petrol,Manual,3,1,16334,3,Rural,7216.129032258064,False,Rural
29,Mercedes,Model C,2023,55442.0,Hybrid,Automatic,8,30,24932,2,Rural,26400.95238095238,False,Rural
31,Mercedes,Model A,2023,6695.0,Petrol,Manual,1,1,21254,2,Rural,3188.095238095238,False,Rural
