car_id,brand,model,year,mileage,fuel_type,transmission,sale_month,zip_prefix,price
1,Honda,Model A,2020,50757.0,Petrol,Manual,7,30,999999
2,Fiat,Model B,2030,,Hybrid,Automatic,1,01,19076
3,Audi,Model C,2025,-500.0,Petrol,Automatic,12,01,29629
4,VW,Model B,2023,10661.0,XYZ,Automatic,10,20,18132
5,Dacia,Model C,2015,126515.0,Petrol,Manual,7,30,0
6,VW,Model C,2015,121974.0,Petrol,Manual,12,01,500
7,BMW,Model B,2005,247373.0,Petrol,Automatic,4,10,500
8,Ford,Model B,2025,3210.0,Hybrid,Automatic,11,01,21820
9,Mercedes,Model A,2023,34565.0,Diesel,Automatic,11,01,21380
10,BMW,Model A,2025,13173.0,Petrol,Automatic,8,30,33616
11,Toyota,Model B,2002,249874.0,Petrol,Automatic,4,30,500
12,Audi,Model C,2025,0.0,Petrol,Automatic,7,20,33231
13,Hyundai,Model B,2025,0.0,Petrol,Manual,12,10,20673
14,Toyota,Model A,2017,95659.0,Diesel,Manual,2,01,6814
15,VW,Model A,2016,97948.0,Petrol,Manual,3,01,9107
16,BMW,Model C,2016,121680.0,Petrol,Manual,9,01,4388
17,BMW,Model A,2020,26909.0,Petrol,Manual,9,20,11325
18,BMW,Model B,2022,38792.0,Petrol,Manual,3,10,13796
19,Audi,Model C,2021,49265.0,Petrol,Manual,11,30,9813
20,Toyota,Model B,2019,84741.0,Petrol,Automatic,12,20,10088
21,Ford,Model C,2023,0.0,Diesel,Automatic,1,10,24607
22,Dacia,Model C,2013,,Petrol,Automatic,12,20,6861
23,Toyota,Model B,2019,86685.0,Petrol,Manual,4,30,6039
24,BMW,Model A,2020,50352.0,Diesel,Automatic,4,01,13444
25,Mercedes,Model A,2021,29601.0,Diesel,Automatic,1,01,18136
26,Fiat,Model C,2025,0.0,Diesel,Manual,7,01,21949
27,VW,Model C,2016,32126.0,Diesel,Automatic,12,01,500
28,Hyundai,Model A,2022,22370.0,Petrol,Manual,3,01,16334
29,Mercedes,Model C,2023,55442.0,Hybrid,Automatic,8,30,24932
30,Mercedes,Model A,2004,244819.0,Petrol,Manual,4,01,500
31,Mercedes,Model A,2023,6695.0,Petrol,Manual,1,01,21254
32,Fiat,Model B,2015,118595.0,Petrol,Manual,12,30,6154
33,Audi,Model B,2006,241617.0,Hybrid,Automatic,9,01,500
34,Ford,Model A,2025,261.0,Petrol,Manual,10,20,27741
35,Honda,Model A,2025,7283.0,Petrol,Automatic,9,30,29160
36,Honda,Model B,2025,0.0,Petrol,Automatic,2,01,27700
37,Mercedes,Model A,2020,82315.0,Petrol,Automatic,3,30,8875
38,Ford,Model A,2009,200425.0,Petrol,Manual,5,30,6531
39,BMW,Model C,2024,27715.0,Petrol,Automatic,12,30,31349
40,Dacia,Model B,2021,53477.0,Petrol,Automatic,9,01,10110
41,BMW,Model B,2012,168373.0,Diesel,Automatic,6,01,500
42,BMW,Model B,2022,22904.0,Petrol,Automatic,7,30,22407
43,Toyota,Model C,2003,250000.0,Diesel,Automatic,12,01,500
44,Hyundai,Model B,2025,20197.0,Petrol,Automatic,3,01,25319
45,Audi,Model B,2018,107396.0,Petrol,Manual,5,20,9429
46,Honda,Model B,2024,0.0,Diesel,Automatic,5,01,18290
47,BMW,Model A,2020,63746.0,Diesel,Automatic,12,30,12356
48,BMW,Model C,2022,29535.0,Petrol,Manual,10,20,18948
49,Ford,Model A,2023,13544.0,Diesel,Automatic,8,10,21042
50,Mercedes,Model B,2016,112272.0,Petrol,Automatic,4,01,5362
51,VW,Model C,2025,17114.0,Petrol,Automatic,3,30,22442
52,Hyundai,Model A,2025,6774.0,Petrol,Manual,5,30,26351
53,Fiat,Model C,2025,0.0,Petrol,Manual,12,20,16181
54,Mercedes,Model B,2025,7722.0,Petrol,Automatic,12,30,26425
55,Honda,Model C,2023,18600.0,Petrol,Automatic,6,20,23324
56,Dacia,Model B,2025,6181.0,Petrol,Automatic,5,01,23956
57,Hyundai,Model C,2008,,Diesel,Automatic,12,30,1167
58,Mercedes,Model B,2016,76842.0,Petrol,Automatic,6,20,8164
59,Honda,Model B,2004,250000.0,Petrol,Manual,1,01,500
60,Fiat,Model C,2020,36914.0,Hybrid,Automatic,5,30,7723
61,Honda,Model A,2021,66424.0,Petrol,Manual,8,01,10304
62,Hyundai,Model B,2019,62444.0,Petrol,Automatic,12,01,8909
63,Honda,Model B,2025,0.0,Diesel,Manual,6,30,25389
64,Mercedes,Model B,2020,70429.0,Petrol,Automatic,4,30,12182
65,Mercedes,Model A,2019,77462.0,Petrol,Manual,5,10,8143
66,BMW,Model B,2023,9012.0,Petrol,Manual,1,20,21992
67,Mercedes,Model A,2014,113205.0,Diesel,Manual,12,30,4520
68,Fiat,Model B,2025,0.0,Diesel,Automatic,1,01,18814
69,VW,Model C,2007,197938.0,Petrol,Automatic,1,10,500
70,VW,Model C,2025,0.0,Petrol,Manual,8,01,25092
71,Ford,Model B,2025,1734.0,Petrol,Manual,2,20,27046
72,Toyota,Model B,2016,93511.0,Petrol,Automatic,4,20,8053
73,Audi,Model C,2000,250000.0,Petrol,Automatic,7,30,500
74,Fiat,Model A,2025,,Diesel,Automatic,10,30,23149
75,Honda,Model A,2025,0.0,Hybrid,Manual,5,01,23686
76,Honda,Model B,2025,1952.0,Petrol,Manual,12,20,22797
77,Dacia,Model A,2025,30271.0,Hybrid,Manual,6,30,14741
78,Toyota,Model A,2007,198185.0,Petrol,Automatic,12,10,500
79,Fiat,Model B,2020,77868.0,Diesel,Automatic,6,30,8977
80,Fiat,Model B,2011,184062.0,Petrol,Manual,7,01,500
81,Audi,Model A,2025,12814.0,Petrol,Automatic,12,30,28206
82,BMW,Model C,2024,31376.0,Petrol,Automatic,9,30,21818
83,Dacia,Model A,2020,64208.0,Petrol,Automatic,2,01,9691
84,Toyota,Model C,2006,219256.0,Diesel,Automatic,8,30,3740
85,BMW,Model A,2020,76418.0,Diesel,Manual,3,20,13906
86,Honda,Model C,2020,76992.0,Petrol,Automatic,4,01,7742
87,Ford,Model B,2025,16579.0,Diesel,Automatic,11,10,26763
88,Hyundai,Model A,2024,12667.0,Petrol,Automatic,9,01,19047
89,Dacia,Model B,2025,0.0,Diesel,Manual,4,20,15391
90,Fiat,Model C,2022,11661.0,Petrol,Automatic,1,01,14711
91,Dacia,Model B,2011,182133.0,Petrol,Manual,7,20,2885
92,BMW,Model B,2025,15365.0,Hybrid,Automatic,4,20,30343
93,VW,Model C,2025,0.0,Petrol,Automatic,1,30,29366
94,Audi,Model C,2023,28730.0,Diesel,Automatic,1,10,26492
95,Mercedes,Model A,2025,0.0,Petrol,Manual,9,10,27259
96,Hyundai,Model C,2022,50774.0,Hybrid,Automatic,6,30,22691
97,Toyota,Model C,2022,24250.0,Petrol,Manual,4,20,21213
98,Fiat,Model C,2021,59778.0,Petrol,Manual,11,30,10017
99,BMW,Model C,2002,250000.0,Petrol,Automatic,11,01,500
100,Hyundai,Model B,2010,195471.0,Petrol,Manual,6,20,6605
101,Mercedes,Model B,2003,250000.0,Petrol,Automatic,4,30,713
102,Mercedes,Model C,2024,279.0,Petrol,Automatic,7,01,25562
103,Honda,Model B,2020,70370.0,Diesel,Automatic,10,20,11358
104,Toyota,Model A,2022,27144.0,Petrol,Manual,1,20,18745
105,Honda,Model B,2025,11243.0,Petrol,Automatic,8,20,29366
106,Dacia,Model C,2018,79888.0,Hybrid,Automatic,9,01,7095
107,VW,Model C,2021,22184.0,Diesel,Automatic,11,20,15902
108,Toyota,Model B,2025,0.0,Petrol,Automatic,3,20,27860
109,Mercedes,Model A,2017,89543.0,Petrol,Manual,3,10,4066
110,Toyota,Model A,2007,236522.0,Petrol,Automatic,3,30,3707
111,Honda,Model C,2019,85517.0,Petrol,Manual,12,10,6320
112,Ford,Model A,2015,144357.0,Petrol,Manual,2,20,1896
113,Audi,Model C,2025,24804.0,Diesel,Manual,10,20,26415
114,Hyundai,Model C,2025,0.0,Petrol,Automatic,12,30,22870
115,BMW,Model A,2024,9172.0,Petrol,Automatic,12,20,27007
116,Ford,Model C,2025,0.0,Petrol,Automatic,6,01,28206
117,Ford,Model B,2025,0.0,Petrol,Automatic,11,01,21914
118,Audi,Model B,2016,80377.0,Diesel,Automatic,9,01,5612
119,Hyundai,Model B,2025,,Hybrid,Automatic,11,30,29756
120,Ford,Model B,2022,16716.0,Petrol,Manual,3,01,17023
121,Ford,Model B,2025,0.0,Petrol,Automatic,10,01,21319
122,Honda,Model B,2025,31736.0,Petrol,Automatic,8,30,23179
123,Fiat,Model B,2020,52359.0,Petrol,Manual,7,01,4164
124,VW,Model C,2011,170921.0,Petrol,Automatic,10,01,500
125,Toyota,Model C,2017,109599.0,Diesel,Automatic,4,01,500
126,Audi,Model B,2021,52204.0,Petrol,Automatic,1,30,15922
127,BMW,Model A,2025,4387.0,Hybrid,Automatic,7,30,29033
128,Mercedes,Model A,2025,0.0,Petrol,Automatic,4,30,32057
129,Dacia,Model A,2000,250000.0,Petrol,Automatic,4,01,500
130,Toyota,Model C,2022,21599.0,Petrol,Automatic,12,30,18071
131,Fiat,Model A,2021,60690.0,Diesel,Automatic,3,01,8581
132,Mercedes,Model B,2017,69877.0,Petrol,Automatic,3,20,12104
133,Toyota,Model A,2011,182566.0,Petrol,Manual,5,30,2355
134,Dacia,Model C,2020,38944.0,Petrol,Automatic,7,30,10337
135,BMW,Model A,2025,14439.0,Petrol,Automatic,11,20,30345
136,Ford,Model A,2020,54692.0,Petrol,Manual,3,20,13691
137,Fiat,Model B,2022,17521.0,Petrol,Manual,8,10,11135
138,Dacia,Model A,2025,8689.0,Diesel,Automatic,5,01,16322
139,Hyundai,Model B,2020,73931.0,Petrol,Manual,10,30,9748
140,Fiat,Model C,2025,0.0,Diesel,Manual,8,20,24179
141,VW,Model A,2025,3242.0,Diesel,Automatic,10,30,27572
142,Audi,Model C,2018,49723.0,Petrol,Manual,11,01,9488
143,VW,Model C,2022,16191.0,Petrol,Automatic,12,01,16125
144,Dacia,Model C,2020,79386.0,Petrol,Manual,12,01,9476
145,Honda,Model B,2019,68644.0,Petrol,Automatic,8,30,10905
146,Audi,Model A,2003,236066.0,Petrol,Automatic,8,01,2069
147,Ford,Model C,2023,13517.0,Diesel,Manual,2,30,16853
148,VW,Model C,2022,22148.0,Petrol,Automatic,2,10,16364
149,Audi,Model A,2005,237510.0,Petrol,Automatic,7,30,500
150,VW,Model C,2019,66438.0,Petrol,Manual,9,20,8179
151,Ford,Model B,2025,2683.0,Hybrid,Automatic,4,01,22536
152,Ford,Model C,2017,94958.0,Petrol,Manual,5,20,4685
153,Toyota,Model A,2014,152396.0,Diesel,Automatic,9,30,1770
154,Mercedes,Model A,2022,42368.0,Petrol,Manual,3,01,13793
155,Ford,Model A,2025,6865.0,Petrol,Automatic,7,30,24223
156,Ford,Model C,2018,101477.0,Hybrid,Automatic,7,01,6447
157,Toyota,Model A,2024,6168.0,Petrol,Automatic,12,20,21700
158,Toyota,Model C,2025,0.0,Petrol,Manual,6,20,26302
159,Toyota,Model B,2017,114104.0,Petrol,Automatic,3,10,5409
160,Honda,Model C,2025,2037.0,Diesel,Automatic,3,01,21730
161,Dacia,Model B,2020,62090.0,Petrol,Automatic,4,30,5474
162,Hyundai,Model A,2024,2500.0,Petrol,Automatic,4,20,22536
163,Fiat,Model B,2024,2747.0,Diesel,Automatic,10,20,17864
164,Honda,Model C,2022,48700.0,Petrol,Manual,8,20,15167
165,Honda,Model B,2009,206769.0,Petrol,Automatic,9,30,500
166,Audi,Model B,2025,,Petrol,Automatic,8,30,30141
167,VW,Model A,2020,71894.0,Petrol,Manual,7,30,12374
168,Toyota,Model B,2016,116535.0,Petrol,Manual,12,30,7721
169,VW,Model C,2004,250000.0,Diesel,Manual,11,10,500
170,Toyota,Model B,2023,6410.0,Petrol,Manual,3,30,17136
171,Mercedes,Model C,2024,30154.0,Petrol,Automatic,6,20,28877
172,Mercedes,Model C,2001,250000.0,Petrol,Manual,4,01,1013
173,Hyundai,Model B,2022,41549.0,Hybrid,Automatic,10,30,13491
174,Audi,Model C,2017,83939.0,Petrol,Manual,5,10,4554
175,Audi,Model C,2024,2110.0,Petrol,Automatic,9,30,20668
176,Fiat,Model B,2015,116457.0,Hybrid,Automatic,4,30,3733
177,VW,Model A,2024,0.0,Diesel,Manual,3,10,21723
178,Mercedes,Model C,2021,59967.0,Diesel,Manual,1,01,15392
179,Mercedes,Model A,2025,0.0,Petrol,Manual,12,10,27219
180,Audi,Model B,2013,145488.0,Petrol,Automatic,3,20,7008
181,Ford,Model A,2020,61987.0,Petrol,Automatic,11,01,6328
182,Hyundai,Model A,2011,,Petrol,Manual,11,20,3573
183,Audi,Model A,2025,0.0,Petrol,Automatic,3,01,30169
184,Fiat,Model C,2025,3835.0,Petrol,Manual,6,30,21821
185,Mercedes,Model A,2018,90430.0,Petrol,Automatic,11,01,5921
186,Audi,Model C,2024,8935.0,Diesel,Automatic,9,01,26371
187,Dacia,Model C,2025,10153.0,Diesel,Manual,5,10,17656
188,Mercedes,Model C,2023,22360.0,Petrol,Manual,12,10,18094
189,Fiat,Model C,2022,36204.0,Petrol,Manual,5,01,11555
190,VW,Model B,2018,87774.0,Diesel,Automatic,3,01,6220
191,BMW,Model A,2009,205904.0,Petrol,Manual,2,01,500
192,Honda,Model C,2025,0.0,Petrol,Manual,9,30,26110
193,Honda,Model C,2025,0.0,Hybrid,Manual,1,30,23064
194,Dacia,Model C,2024,1966.0,Petrol,Manual,11,30,14456
195,Toyota,Model A,2020,55017.0,Petrol,Manual,4,20,8780
196,Honda,Model B,2020,81393.0,Diesel,Automatic,5,30,17260
197,Mercedes,Model A,2025,8590.0,Petrol,Automatic,11,20,34665
198,Ford,Model C,2025,0.0,Petrol,Manual,11,01,26710
199,Audi,Model A,2025,0.0,Hybrid,Manual,6,10,29545
200,BMW,Model A,2025,5591.0,Petrol,Automatic,7,20,31472
201,Dacia,Model A,2024,0.0,Petrol,Manual,9,20,14890
202,Audi,Model B,2008,193119.0,Diesel,Manual,9,01,500
203,Mercedes,Model C,2015,140174.0,Petrol,Automatic,7,30,1030
204,VW,Model B,2025,0.0,Petrol,Automatic,11,30,20929
205,Hyundai,Model B,2023,38320.0,Petrol,Manual,11,10,11399
206,BMW,Model A,2000,250000.0,Petrol,Automatic,11,30,500
207,Mercedes,Model C,2010,168998.0,Diesel,Automatic,4,20,1481
208,BMW,Model C,2024,0.0,Diesel,Manual,4,01,22724
209,BMW,Model C,2000,250000.0,Petrol,Manual,2,30,3676
